0,-2,0,51,60,10000
0,-1,0,60,61,10000
0,0,0,35,63,10000
0,1,0,39,62,10000
0,2,0,42,62,10000
0,3,0,49,59,10000
0,4,0,51,46,10000
0,5,0,45,48,10000
0,6,0,50,50,10000
0,7,0,53,59,10000
0,8,0,59,57,10000
0,9,0,61,49,10000
0,10,0,54,49,10000
0,11,0,62,44,10000
0,12,0,57,50,10000
0,13,0,66,53,10000
0,14,0,58,62,10000
0,15,0,64,48,10000
0,16,0,69,53,10000
0,17,0,61,46,10000
0,18,0,62,51,10000
0,19,0,57,37,10000
0,20,0,66,35,10000
0,21,0,56,35,10000
0,22,0,65,43,10000
0,23,0,63,50,67
0,24,0,67,59,72
0,25,0,65,51,65
0,26,0,73,58,74
0,27,0,76,67,10000
0,28,0,68,61,10000
0,29,0,76,63,10000
0,30,0,69,62,10000
-1,24,0,63,60,69
-2,24,0,72,60,65
-3,24,0,82,62,76
-4,24,0,77,65,67
-5,24,0,10000,67,72
-6,24,0,10000,58,60
-7,24,0,10000,58,65
-8,24,0,10000,60,63
-9,24,0,10000,71,64
-10,24,0,10000,73,71
-11,24,0,10000,74,72
-12,24,0,10000,72,69
-13,24,0,10000,68,75
-14,24,0,10000,71,60
-15,24,0,10000,70,55
-16,24,0,10000,79,44
-17,24,0,10000,77,58
-18,24,0,10000,10000,43
-19,24,0,10000,10000,64
-20,24,0,10000,10000,47
-21,24,0,10000,10000,58
-22,24,0,10000,10000,60
-23,24,0,10000,10000,60
-24,24,0,10000,10000,60
-25,24,0,10000,10000,56
-26,24,0,10000,10000,57
-27,24,0,10000,10000,61
-28,24,0,10000,10000,60
-29,24,0,10000,10000,60
-30,24,0,10000,10000,61
-31,24,0,10000,10000,63
-32,24,0,10000,10000,61
-33,24,0,10000,10000,62
-34,24,0,10000,10000,63
-35,24,0,10000,10000,71
